id,parent_id/id,code,name
sun_621f,sun_621,621f,Utbildning i hästhållning 
sun_621g,sun_621,621g,Utbildning i djurvård
sun_621x,sun_621,621x,Annan utbildning inom lantbruk
sun_622a,sun_622,622a,Hortonomutbildning
sun_622b,sun_622,622b,Trädgårdsingenjörs- och trädgårdsteknikerutbildning
sun_622c,sun_622,622c,Utbildning i trädgårdsbruk
sun_622x,sun_622,622x,Annan utbildning inom trädgård
sun_623a,sun_623,623a,Jägmästar- och skogsvetarutbildning
sun_623b,sun_623,623b,Skogsmästar-, skogstekniker- och skogsingenjörsutbildning
sun_623c,sun_623,623c,Utbildning i skogsbruk
sun_623x,sun_623,623x,Annan utbildning inom skog
sun_624z,sun_624,624z,Fiske och vattenbruk
sun_629z,sun_629,629z,Lantbruk, trädgård, skog och fiske, övrig och ospecificerad utbildning
sun_640a,sun_640,640a,Veterinärutbildning
sun_640b,sun_640,640b,Djursjukskötarutbildning
sun_640x,sun_640,640x,Annan utbildning inom djursjukvård
sun_720z,sun_720,720z,Hälso- och sjukvård, allmän utbildning
sun_721a,sun_721,721a,Läkarutbildning
sun_721b,sun_721,721b,Läkarutbildning, inklusive fullgjord allmäntjänstgöring (AT)
sun_721c,sun_721,721c,Läkarutbildning, kirurgiska specialiteter 
sun_721d,sun_721,721d,Läkarutbildning, invärtesmedicinska specialiteter
sun_721e,sun_721,721e,Läkarutbildning, barn- och ungdomsmedicinska specialiteter
sun_721f,sun_721,721f,Läkarutbildning, enskilda basspecialiteter, exklusive allmänmedicin
sun_721g,sun_721,721g,Läkarutbildning, allmänmedicin
sun_721h,sun_721,721h,Läkarutbildning, psykiatriska specialiteter
sun_721i,sun_721,721i,Läkarutbildning, bild- och funktionsmedicinska specialiteter 
sun_721j,sun_721,721j,Läkarutbildning, laboratoriemedicinska specialiteter 
sun_721k,sun_721,721k,Läkarutbildning, neurologiska specialiteter
sun_721l,sun_721,721l,Läkarutbildning, tilläggsspecialiteter 
sun_721m,sun_721,721m,Läkarutbildning, annan specialistkompetens
sun_721x,sun_721,721x,Annan utbildning inom medicin 
sun_723a,sun_723,723a,Sjuksköterskeutbildning, grundutbildning
sun_723b,sun_723,723b,Specialistsjuksköterskeutbildning, ambulanssjukvård
sun_723c,sun_723,723c,Specialistsjuksköterskeutbildning, anestesisjukvård 
sun_723d,sun_723,723d,Specialistsjuksköterskeutbildning, intensivvård 
sun_723e,sun_723,723e,Specialistsjuksköterskeutbildning, operationssjukvård 
sun_723f,sun_723,723f,Specialistsjuksköterskeutbildning, kirurgisk vård
sun_723g,sun_723,723g,Specialistsjuksköterskeutbildning, medicinsk vård
sun_723h,sun_723,723h,Specialistsjuksköterskeutbildning, distriktssköterska
sun_723i,sun_723,723i,Specialistsjuksköterskeutbildning, barn och ungdom
sun_723j,sun_723,723j,Specialistsjuksköterskeutbildning, onkologisk vård
sun_723k,sun_723,723k,Specialistsjuksköterskeutbildning, psykiatrisk vård
sun_723l,sun_723,723l,Specialistsjuksköterskeutbildning, vård av äldre 
